GenBank_ID,Country,State,City,Virus_name,Date,Decimal_Date,Sequence_name
PP269790.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-07-27,2017.56712328767,PP269790.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-07-27|2017.56712328767
PP269791.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-07-27,2017.56712328767,PP269791.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-07-27|2017.56712328767
PP269792.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-08-01,2017.58082191781,PP269792.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-08-01|2017.58082191781
PP269793.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-08-08,2017.6,PP269793.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-08-08|2017.6
PP269794.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-08-08,2017.6,PP269794.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-08-08|2017.6
PP269795.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-08-15,2017.61917808219,PP269795.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-08-15|2017.61917808219
PP269796.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-08-15,2017.61917808219,PP269796.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-08-15|2017.61917808219
PP269797.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-08-16,2017.62191780822,PP269797.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-08-16|2017.62191780822
PP269798.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-08-18,2017.62739726027,PP269798.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-08-18|2017.62739726027
PP269799.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-08-22,2017.63835616438,PP269799.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-08-22|2017.63835616438
PP269800.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-09-11,2017.69315068493,PP269800.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-09-11|2017.69315068493
PP269801.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-09-13,2017.69863013699,PP269801.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-09-13|2017.69863013699
PP269802.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-09-21,2017.72054794521,PP269802.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-09-21|2017.72054794521
PP269803.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-09-22,2017.72328767123,PP269803.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-09-22|2017.72328767123
PP269804.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-09-26,2017.73424657534,PP269804.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-09-26|2017.73424657534
PP269805.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-10-03,2017.75342465753,PP269805.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-10-03|2017.75342465753
PP269806.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-10-25,2017.81369863014,PP269806.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-10-25|2017.81369863014
PP269807.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-11-08,2017.85205479452,PP269807.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-11-08|2017.85205479452
PP269808.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-11-10,2017.85753424658,PP269808.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-11-10|2017.85753424658
PP269809.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-11-16,2017.87397260274,PP269809.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-11-16|2017.87397260274
PP269810.1,Viet_Nam,NA,NA,dengue_virus_type_1,2017-11-22,2017.8904109589,PP269810.1|Viet_Nam|NA|NA|dengue_virus_type_1|2017-11-22|2017.8904109589
PP269811.1,Viet_Nam,NA,NA,dengue_virus_type_1,2018-01-03,2018.00547945205,PP269811.1|Viet_Nam|NA|NA|dengue_virus_type_1|2018-01-03|2018.00547945205
PP269812.1,Viet_Nam,NA,NA,dengue_virus_type_1,2018-01-10,2018.02465753425,PP269812.1|Viet_Nam|NA|NA|dengue_virus_type_1|2018-01-10|2018.02465753425
PP269813.1,Viet_Nam,NA,NA,dengue_virus_type_1,2018-01-19,2018.04931506849,PP269813.1|Viet_Nam|NA|NA|dengue_virus_type_1|2018-01-19|2018.04931506849
PP269814.1,Viet_Nam,NA,NA,dengue_virus_type_1,2018-03-20,2018.21369863014,PP269814.1|Viet_Nam|NA|NA|dengue_virus_type_1|2018-03-20|2018.21369863014
PP269815.1,Viet_Nam,NA,NA,dengue_virus_type_1,2018-05-04,2018.33698630137,PP269815.1|Viet_Nam|NA|NA|dengue_virus_type_1|2018-05-04|2018.33698630137
PP269816.1,Viet_Nam,NA,NA,dengue_virus_type_1,2018-05-07,2018.34520547945,PP269816.1|Viet_Nam|NA|NA|dengue_virus_type_1|2018-05-07|2018.34520547945
PP269817.1,Viet_Nam,NA,NA,dengue_virus_type_1,2018-05-07,2018.34520547945,PP269817.1|Viet_Nam|NA|NA|dengue_virus_type_1|2018-05-07|2018.34520547945
PP269818.1,Viet_Nam,NA,NA,dengue_virus_type_1,2018-05-17,2018.37260273973,PP269818.1|Viet_Nam|NA|NA|dengue_virus_type_1|2018-05-17|2018.37260273973
PP269819.1,Viet_Nam,NA,NA,dengue_virus_type_1,2018-05-28,2018.40273972603,PP269819.1|Viet_Nam|NA|NA|dengue_virus_type_1|2018-05-28|2018.40273972603
PP269820.1,Viet_Nam,NA,NA,dengue_virus_type_1,2018-07-03,2018.50136986301,PP269820.1|Viet_Nam|NA|NA|dengue_virus_type_1|2018-07-03|2018.50136986301
PP269821.1,Viet_Nam,NA,NA,dengue_virus_type_1,2018-08-06,2018.59452054795,PP269821.1|Viet_Nam|NA|NA|dengue_virus_type_1|2018-08-06|2018.59452054795
PP269822.1,Viet_Nam,NA,NA,dengue_virus_type_2,2011-08-24,2011.64383561644,PP269822.1|Viet_Nam|NA|NA|dengue_virus_type_2|2011-08-24|2011.64383561644
PP269823.1,Viet_Nam,NA,NA,dengue_virus_type_2,2012-05-16,2012.3698630137,PP269823.1|Viet_Nam|NA|NA|dengue_virus_type_2|2012-05-16|2012.3698630137
PP269824.1,Viet_Nam,NA,NA,dengue_virus_type_2,2012-06-26,2012.48219178082,PP269824.1|Viet_Nam|NA|NA|dengue_virus_type_2|2012-06-26|2012.48219178082
PP269825.1,Viet_Nam,NA,NA,dengue_virus_type_2,2013-02-21,2013.1397260274,PP269825.1|Viet_Nam|NA|NA|dengue_virus_type_2|2013-02-21|2013.1397260274
PP269826.1,Viet_Nam,NA,NA,dengue_virus_type_2,2012-02-22,2012.14246575342,PP269826.1|Viet_Nam|NA|NA|dengue_virus_type_2|2012-02-22|2012.14246575342
PP269827.1,Viet_Nam,NA,NA,dengue_virus_type_2,2012-05-24,2012.39178082192,PP269827.1|Viet_Nam|NA|NA|dengue_virus_type_2|2012-05-24|2012.39178082192
PP269828.1,Viet_Nam,NA,NA,dengue_virus_type_2,2013-07-31,2013.57808219178,PP269828.1|Viet_Nam|NA|NA|dengue_virus_type_2|2013-07-31|2013.57808219178
PP269829.1,Viet_Nam,NA,NA,dengue_virus_type_2,2013-05-09,2013.35068493151,PP269829.1|Viet_Nam|NA|NA|dengue_virus_type_2|2013-05-09|2013.35068493151
PP269830.1,Viet_Nam,NA,NA,dengue_virus_type_2,2014-10-30,2014.82739726027,PP269830.1|Viet_Nam|NA|NA|dengue_virus_type_2|2014-10-30|2014.82739726027
PP269831.1,Viet_Nam,NA,NA,dengue_virus_type_2,2012-03-30,2012.24109589041,PP269831.1|Viet_Nam|NA|NA|dengue_virus_type_2|2012-03-30|2012.24109589041
PP269832.1,Viet_Nam,NA,NA,dengue_virus_type_2,2012-07-12,2012.52602739726,PP269832.1|Viet_Nam|NA|NA|dengue_virus_type_2|2012-07-12|2012.52602739726
PP269833.1,Viet_Nam,NA,NA,dengue_virus_type_2,2012-11-20,2012.88493150685,PP269833.1|Viet_Nam|NA|NA|dengue_virus_type_2|2012-11-20|2012.88493150685
PP269834.1,Viet_Nam,NA,NA,dengue_virus_type_2,2013-01-09,2013.02191780822,PP269834.1|Viet_Nam|NA|NA|dengue_virus_type_2|2013-01-09|2013.02191780822
PP269835.1,Viet_Nam,NA,NA,dengue_virus_type_2,2012-01-31,2012.08219178082,PP269835.1|Viet_Nam|NA|NA|dengue_virus_type_2|2012-01-31|2012.08219178082
PP269836.1,Viet_Nam,NA,NA,dengue_virus_type_2,2015-08-26,2015.64931506849,PP269836.1|Viet_Nam|NA|NA|dengue_virus_type_2|2015-08-26|2015.64931506849
PP269837.1,Viet_Nam,NA,NA,dengue_virus_type_2,2015-10-09,2015.7698630137,PP269837.1|Viet_Nam|NA|NA|dengue_virus_type_2|2015-10-09|2015.7698630137
PP269838.1,Viet_Nam,NA,NA,dengue_virus_type_2,2012-01-04,2012.00821917808,PP269838.1|Viet_Nam|NA|NA|dengue_virus_type_2|2012-01-04|2012.00821917808
PP269839.1,Viet_Nam,NA,NA,dengue_virus_type_2,2012-02-08,2012.10410958904,PP269839.1|Viet_Nam|NA|NA|dengue_virus_type_2|2012-02-08|2012.10410958904
PP269840.1,Viet_Nam,NA,NA,dengue_virus_type_2,2012-03-15,2012.2,PP269840.1|Viet_Nam|NA|NA|dengue_virus_type_2|2012-03-15|2012.2
PP269841.1,Viet_Nam,NA,NA,dengue_virus_type_2,2012-05-31,2012.41095890411,PP269841.1|Viet_Nam|NA|NA|dengue_virus_type_2|2012-05-31|2012.41095890411
PP269842.1,Viet_Nam,NA,NA,dengue_virus_type_2,2012-06-07,2012.4301369863,PP269842.1|Viet_Nam|NA|NA|dengue_virus_type_2|2012-06-07|2012.4301369863
PP269843.1,Viet_Nam,NA,NA,dengue_virus_type_2,2012-12-06,2012.92876712329,PP269843.1|Viet_Nam|NA|NA|dengue_virus_type_2|2012-12-06|2012.92876712329
PP269844.1,Viet_Nam,NA,NA,dengue_virus_type_2,2013-09-09,2013.68767123288,PP269844.1|Viet_Nam|NA|NA|dengue_virus_type_2|2013-09-09|2013.68767123288
PP269845.1,Viet_Nam,NA,NA,dengue_virus_type_2,2015-06-09,2015.43561643836,PP269845.1|Viet_Nam|NA|NA|dengue_virus_type_2|2015-06-09|2015.43561643836
PP269846.1,Viet_Nam,NA,NA,dengue_virus_type_2,2011-10-31,2011.8301369863,PP269846.1|Viet_Nam|NA|NA|dengue_virus_type_2|2011-10-31|2011.8301369863
PP269847.1,Viet_Nam,NA,NA,dengue_virus_type_2,2011-11-08,2011.85205479452,PP269847.1|Viet_Nam|NA|NA|dengue_virus_type_2|2011-11-08|2011.85205479452
PP269848.1,Viet_Nam,NA,NA,dengue_virus_type_2,2012-03-06,2012.17534246575,PP269848.1|Viet_Nam|NA|NA|dengue_virus_type_2|2012-03-06|2012.17534246575
PP269849.1,Viet_Nam,NA,NA,dengue_virus_type_2,2012-06-06,2012.42739726027,PP269849.1|Viet_Nam|NA|NA|dengue_virus_type_2|2012-06-06|2012.42739726027
PP269850.1,Viet_Nam,NA,NA,dengue_virus_type_2,2012-12-05,2012.92602739726,PP269850.1|Viet_Nam|NA|NA|dengue_virus_type_2|2012-12-05|2012.92602739726
PP269851.1,Viet_Nam,NA,NA,dengue_virus_type_2,2013-03-28,2013.23561643836,PP269851.1|Viet_Nam|NA|NA|dengue_virus_type_2|2013-03-28|2013.23561643836
PP269852.1,Viet_Nam,NA,NA,dengue_virus_type_2,2013-09-29,2013.74246575342,PP269852.1|Viet_Nam|NA|NA|dengue_virus_type_2|2013-09-29|2013.74246575342
PP269853.1,Viet_Nam,NA,NA,dengue_virus_type_2,2013-10-21,2013.80273972603,PP269853.1|Viet_Nam|NA|NA|dengue_virus_type_2|2013-10-21|2013.80273972603
PP269854.1,Viet_Nam,NA,NA,dengue_virus_type_2,2013-10-22,2013.80547945205,PP269854.1|Viet_Nam|NA|NA|dengue_virus_type_2|2013-10-22|2013.80547945205
PP269855.1,Viet_Nam,NA,NA,dengue_virus_type_2,2014-10-29,2014.82465753425,PP269855.1|Viet_Nam|NA|NA|dengue_virus_type_2|2014-10-29|2014.82465753425
PP269856.1,Viet_Nam,NA,NA,dengue_virus_type_2,2014-11-03,2014.83835616438,PP269856.1|Viet_Nam|NA|NA|dengue_virus_type_2|2014-11-03|2014.83835616438
PP269857.1,Viet_Nam,NA,NA,dengue_virus_type_2,2014-11-05,2014.84383561644,PP269857.1|Viet_Nam|NA|NA|dengue_virus_type_2|2014-11-05|2014.84383561644
PP269858.1,Viet_Nam,NA,NA,dengue_virus_type_2,2014-11-07,2014.84931506849,PP269858.1|Viet_Nam|NA|NA|dengue_virus_type_2|2014-11-07|2014.84931506849
PP269859.1,Viet_Nam,NA,NA,dengue_virus_type_2,2014-11-30,2014.91232876712,PP269859.1|Viet_Nam|NA|NA|dengue_virus_type_2|2014-11-30|2014.91232876712
PP269860.1,Viet_Nam,NA,NA,dengue_virus_type_2,2013-07-17,2013.5397260274,PP269860.1|Viet_Nam|NA|NA|dengue_virus_type_2|2013-07-17|2013.5397260274
PP269861.1,Viet_Nam,NA,NA,dengue_virus_type_2,2013-08-05,2013.59178082192,PP269861.1|Viet_Nam|NA|NA|dengue_virus_type_2|2013-08-05|2013.59178082192
PP269862.1,Viet_Nam,NA,NA,dengue_virus_type_2,2013-12-02,2013.91780821918,PP269862.1|Viet_Nam|NA|NA|dengue_virus_type_2|2013-12-02|2013.91780821918
PP269863.1,Viet_Nam,NA,NA,dengue_virus_type_2,2014-09-22,2014.72328767123,PP269863.1|Viet_Nam|NA|NA|dengue_virus_type_2|2014-09-22|2014.72328767123
PP269864.1,Viet_Nam,NA,NA,dengue_virus_type_2,2014-10-09,2014.7698630137,PP269864.1|Viet_Nam|NA|NA|dengue_virus_type_2|2014-10-09|2014.7698630137
PP269865.1,Viet_Nam,NA,NA,dengue_virus_type_2,2014-11-26,2014.90136986301,PP269865.1|Viet_Nam|NA|NA|dengue_virus_type_2|2014-11-26|2014.90136986301
PP269866.1,Viet_Nam,NA,NA,dengue_virus_type_2,2013-08-13,2013.61369863014,PP269866.1|Viet_Nam|NA|NA|dengue_virus_type_2|2013-08-13|2013.61369863014
PP269867.1,Viet_Nam,NA,NA,dengue_virus_type_2,2013-10-11,2013.77534246575,PP269867.1|Viet_Nam|NA|NA|dengue_virus_type_2|2013-10-11|2013.77534246575
PP269868.1,Viet_Nam,NA,NA,dengue_virus_type_2,2013-11-19,2013.88219178082,PP269868.1|Viet_Nam|NA|NA|dengue_virus_type_2|2013-11-19|2013.88219178082
PP269869.1,Viet_Nam,NA,NA,dengue_virus_type_2,2012-09-13,2012.69863013699,PP269869.1|Viet_Nam|NA|NA|dengue_virus_type_2|2012-09-13|2012.69863013699
