Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Length,Nuc_Completeness,Geo_Location,Region,Host,Isolation_Source,Collection_Date,GenBank_Title
OQ521592.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1620,partial,Viet Nam,South,Homo sapiens,blood,2022-03,"Dengue virus type I isolate D1-3038-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521593.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1658,partial,Viet Nam,South,Homo sapiens,blood,2022,"Dengue virus type I isolate D1-3086-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521594.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1663,partial,Viet Nam,South,Homo sapiens,blood,2022-04,"Dengue virus type I isolate D1-3222-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521595.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1670,partial,Viet Nam,South,Homo sapiens,blood,2022-04,"Dengue virus type I isolate D1-3336-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521596.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1712,partial,Viet Nam,South,Homo sapiens,blood,2022-04,"Dengue virus type I isolate D1-3313-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521597.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1665,partial,Viet Nam,South,Homo sapiens,blood,2022-05,"Dengue virus type I isolate D1-3391-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521598.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1673,partial,Viet Nam,South,Homo sapiens,blood,2022-05,"Dengue virus type I isolate D1-3403-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521599.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1674,partial,Viet Nam,South,Homo sapiens,blood,2022-05,"Dengue virus type I isolate D1-3435-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521600.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1663,partial,Viet Nam,South,Homo sapiens,blood,2022-05,"Dengue virus type I isolate D1-3473-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521601.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1661,partial,Viet Nam,South,Homo sapiens,blood,2022-04,"Dengue virus type I isolate D1-3488-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521602.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1670,partial,Viet Nam,South,Homo sapiens,blood,2022-05,"Dengue virus type I isolate D1-3501-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521603.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1669,partial,Viet Nam,South,Homo sapiens,blood,2022-05,"Dengue virus type I isolate D1-3512-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521604.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1669,partial,Viet Nam,South,Homo sapiens,blood,2022-05,"Dengue virus type I isolate D1-3523-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521605.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1656,partial,Viet Nam,South,Homo sapiens,blood,2022-05,"Dengue virus type I isolate D1-3550-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521606.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1660,partial,Viet Nam,South,Homo sapiens,blood,2022-05,"Dengue virus type I isolate D1-3556-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521607.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1661,partial,Viet Nam,South,Homo sapiens,blood,2022-05,"Dengue virus type I isolate D1-3570-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521608.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1671,partial,Viet Nam,South,Homo sapiens,blood,2022-06,"Dengue virus type I isolate D1-3604-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521609.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1671,partial,Viet Nam,South,Homo sapiens,blood,2022-06,"Dengue virus type I isolate D1-3658-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521610.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1667,partial,Viet Nam,South,Homo sapiens,blood,2022-06,"Dengue virus type I isolate D1-3662-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521611.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1662,partial,Viet Nam,South,Homo sapiens,blood,2022-06,"Dengue virus type I isolate D1-3690-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521612.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1662,partial,Viet Nam,South,Homo sapiens,blood,2022-06,"Dengue virus type I isolate D1-3702-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521613.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1664,partial,Viet Nam,South,Homo sapiens,blood,2022-06,"Dengue virus type I isolate D1-3715-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521614.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1665,partial,Viet Nam,South,Homo sapiens,blood,2022-06,"Dengue virus type I isolate D1-3725-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521615.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1675,partial,Viet Nam,South,Homo sapiens,blood,2022-06,"Dengue virus type I isolate D1-3743-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521616.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1664,partial,Viet Nam,South,Homo sapiens,blood,2022-06,"Dengue virus type I isolate D1-3753-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521617.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1672,partial,Viet Nam,South,Homo sapiens,blood,2022-06,"Dengue virus type I isolate D1-3754-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521618.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1628,partial,Viet Nam,South,Homo sapiens,blood,2022-06,"Dengue virus type I isolate D1-3755-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521619.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1663,partial,Viet Nam,South,Homo sapiens,blood,2022-06,"Dengue virus type I isolate D1-3768-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521620.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1673,partial,Viet Nam,South,Homo sapiens,blood,2022-06,"Dengue virus type I isolate D1-3769-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521621.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1664,partial,Viet Nam,South,Homo sapiens,blood,2022-07,"Dengue virus type I isolate D1-3829-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521622.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1663,partial,Viet Nam,South,Homo sapiens,blood,2022-06,"Dengue virus type I isolate D1-3883-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521623.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1671,partial,Viet Nam,South,Homo sapiens,blood,2022-06,"Dengue virus type I isolate D1-3916-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521624.1,dengue virus type I,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1662,partial,Viet Nam,South,Homo sapiens,blood,2022-06,"Dengue virus type I isolate D1-3974-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521625.1,Dengue virus type 2,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1766,partial,Viet Nam,South,Homo sapiens,blood,2022-04,"Dengue virus type 2 isolate D2-3182-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521626.1,Dengue virus type 2,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1767,partial,Viet Nam,South,Homo sapiens,blood,2022-04,"Dengue virus type 2 isolate D2-3322-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521627.1,Dengue virus type 2,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1765,partial,Viet Nam,South,Homo sapiens,blood,2022-04,"Dengue virus type 2 isolate D2-3227-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521628.1,Dengue virus type 2,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1736,partial,Viet Nam,South,Homo sapiens,blood,2022-04,"Dengue virus type 2 isolate D2-3325-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521629.1,Dengue virus type 2,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1768,partial,Viet Nam,South,Homo sapiens,blood,2022-04,"Dengue virus type 2 isolate D2-3330-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521630.1,Dengue virus type 2,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1739,partial,Viet Nam,South,Homo sapiens,blood,2022-04,"Dengue virus type 2 isolate D2-3248-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521631.1,Dengue virus type 2,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1793,partial,Viet Nam,South,Homo sapiens,blood,2022-04,"Dengue virus type 2 isolate D2-3272-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521632.1,Dengue virus type 2,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1792,partial,Viet Nam,South,Homo sapiens,blood,2022-04,"Dengue virus type 2 isolate D2-3304-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521633.1,Dengue virus type 2,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1781,partial,Viet Nam,South,Homo sapiens,blood,2022-04,"Dengue virus type 2 isolate D2-3305-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521634.1,Dengue virus type 2,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1785,partial,Viet Nam,South,Homo sapiens,blood,2022-04,"Dengue virus type 2 isolate D2-3307-VungTau-2022 polyprotein (POLY) gene, partial cds"
OQ521635.1,Dengue virus type 2,"Nabeshima,T., Thi Thanh,N.N., Matsuzaki,A., Xayavong,D., Fraenkel,S., Qiang,X., Nwe,K.M., Palma,J.C.B., Tun,M.M.N., Thuy Duong,N.T., Mai,L.T.Q., Morita,K., Hasebe,F., Takamatsu,Y.","Nagasaki University, Institute of Tropical Medicine",Japan,01/03/2024,1767,partial,Viet Nam,South,Homo sapiens,blood,2022-04,"Dengue virus type 2 isolate D2-3319-VungTau-2022 polyprotein (POLY) gene, partial cds"
