Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Geo_Location,Region,Collection_Date
OP919579.1,dengue virus type 1,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHS7,Orthoflavivirus denguei,1485,China,Yunnan,28/10/2019
OP919580.1,dengue virus type 1,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHS11,Orthoflavivirus denguei,1485,China,Yunnan,28/10/2019
OP919581.1,dengue virus type 1,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHS19,Orthoflavivirus denguei,1485,China,Yunnan,28/10/2019
OP919582.1,dengue virus type 1,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHS21,Orthoflavivirus denguei,1485,China,Yunnan,29/10/2019
OP919583.1,dengue virus type 1,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHS29,Orthoflavivirus denguei,1485,China,Yunnan,29/10/2019
OP919584.1,dengue virus type 1,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHS32,Orthoflavivirus denguei,1485,China,Yunnan,07/11/2019
OP919585.1,dengue virus type 1,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHS36,Orthoflavivirus denguei,1485,China,Yunnan,07/11/2019
OP919586.1,dengue virus type 1,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHS37,Orthoflavivirus denguei,1485,China,Yunnan,07/11/2019
OP919587.1,dengue virus type 1,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHS40,Orthoflavivirus denguei,1485,China,Yunnan,07/11/2019
OP919588.1,dengue virus type 1,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHS43,Orthoflavivirus denguei,1485,China,Yunnan,07/11/2019
OP919589.1,dengue virus type 1,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHS45,Orthoflavivirus denguei,1485,China,Yunnan,08/11/2019
OP919590.1,dengue virus type 1,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHS46,Orthoflavivirus denguei,1485,China,Yunnan,08/11/2019
OP919591.1,dengue virus type 1,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHS48,Orthoflavivirus denguei,1485,China,Yunnan,08/11/2019
OP919592.1,dengue virus type 1,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHS52,Orthoflavivirus denguei,1485,China,Yunnan,08/11/2019
OP919593.1,dengue virus type 1,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHS59,Orthoflavivirus denguei,1485,China,Yunnan,09/11/2019
OP925877.1,dengue virus type 2,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHB20,Orthoflavivirus denguei,1485,China,Yunnan,29/10/2019
OP925878.1,dengue virus type 2,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHS44,Orthoflavivirus denguei,1485,China,Yunnan,08/11/2019
OP925879.1,dengue virus type 2,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHS56,Orthoflavivirus denguei,1485,China,Yunnan,08/11/2019
OP925880.1,dengue virus type 3,"Meng,J.X., Hu,Q.M., Zhang,L.M., Li,N., He,Y.W., Yang,Z.X., Sun,Y., Wang,J.L., Meng,J., Wang,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Disease Laboratory",China,06/06/2023,JHS33,Orthoflavivirus denguei,1479,China,Yunnan,07/11/2019
OR029719.1,dengue virus type 3,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV3_D19389,Orthoflavivirus denguei,10650,China,Guangdong,27/07/2019
OR029720.1,dengue virus type 2,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV2_D191053,Orthoflavivirus denguei,10662,China,Guangdong,16/08/2019
OR029721.1,dengue virus type 2,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV2_D191057,Orthoflavivirus denguei,10644,China,Guangdong,16/08/2019
OR029722.1,dengue virus type 2,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV2_D191081,Orthoflavivirus denguei,10656,China,Guangdong,17/08/2019
OR029723.1,dengue virus type 2,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV2_D191088,Orthoflavivirus denguei,10666,China,Guangdong,17/08/2019
OR029724.1,dengue virus type 2,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV2_D191117,Orthoflavivirus denguei,10661,China,Guangdong,19/08/2019
OR029725.1,dengue virus type 2,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV2_D191118,Orthoflavivirus denguei,10659,China,Guangdong,19/08/2019
OR029726.1,dengue virus type 2,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV2_D191119,Orthoflavivirus denguei,10654,China,Guangdong,19/08/2019
OR029727.1,dengue virus type 2,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV2_D191120,Orthoflavivirus denguei,10649,China,Guangdong,19/08/2019
OR029728.1,dengue virus type 2,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV2_D191142,Orthoflavivirus denguei,10658,China,Guangdong,20/08/2019
OR029729.1,dengue virus type 2,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV2_D191152,Orthoflavivirus denguei,10672,China,Guangdong,20/08/2019
OR029730.1,dengue virus type 2,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV2_D191153,Orthoflavivirus denguei,10659,China,Guangdong,20/08/2019
OR029731.1,dengue virus type 2,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV2_D191180,Orthoflavivirus denguei,10658,China,Guangdong,21/08/2019
OR029732.1,dengue virus type 2,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV2_D191195,Orthoflavivirus denguei,10659,China,Guangdong,21/08/2019
OR029733.1,dengue virus type 2,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV2_D191197,Orthoflavivirus denguei,10661,China,Guangdong,22/08/2019
OR029734.1,dengue virus type 2,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV2_D191198,Orthoflavivirus denguei,10658,China,Guangdong,22/08/2019
OR029735.1,dengue virus type 2,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV2_D191199,Orthoflavivirus denguei,10657,China,Guangdong,22/08/2019
OR029736.1,dengue virus type 2,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV2_D191200,Orthoflavivirus denguei,10656,China,Guangdong,21/08/2019
OR029737.1,dengue virus type 2,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV2_D19462,Orthoflavivirus denguei,10667,China,Guangdong,06/08/2019
OR029738.1,dengue virus type 2,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV2_D19783,Orthoflavivirus denguei,10659,China,Guangdong,12/08/2019
OR029739.1,dengue virus type 2,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV2_D19814,Orthoflavivirus denguei,10658,China,Guangdong,14/08/2019
OR029740.1,dengue virus type 2,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV2_D191036,Orthoflavivirus denguei,10673,China,Guangdong,15/08/2019
OR029741.1,dengue virus type 2,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV2_D191079,Orthoflavivirus denguei,10658,China,Guangdong,17/08/2019
OR029742.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191045,Orthoflavivirus denguei,10642,China,Guangdong,15/08/2019
OR029743.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191047,Orthoflavivirus denguei,10639,China,Guangdong,15/08/2019
OR029744.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191051,Orthoflavivirus denguei,10655,China,Guangdong,16/08/2019
OR029745.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191052,Orthoflavivirus denguei,10668,China,Guangdong,16/08/2019
OR029746.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191054,Orthoflavivirus denguei,10648,China,Guangdong,16/08/2019
OR029747.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191056,Orthoflavivirus denguei,10645,China,Guangdong,16/08/2019
OR029748.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191058,Orthoflavivirus denguei,10668,China,Guangdong,15/08/2019
OR029749.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191059,Orthoflavivirus denguei,10653,China,Guangdong,16/08/2019
OR029750.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191062,Orthoflavivirus denguei,10653,China,Guangdong,16/08/2019
OR029751.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191063,Orthoflavivirus denguei,10651,China,Guangdong,16/08/2019
OR029752.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191064,Orthoflavivirus denguei,10654,China,Guangdong,16/08/2019
OR029753.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191066,Orthoflavivirus denguei,10640,China,Guangdong,16/08/2019
OR029754.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191067,Orthoflavivirus denguei,10653,China,Guangdong,16/08/2019
OR029755.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191071,Orthoflavivirus denguei,10653,China,Guangdong,17/08/2019
OR029756.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191072,Orthoflavivirus denguei,10653,China,Guangdong,17/08/2019
OR029757.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191074,Orthoflavivirus denguei,10653,China,Guangdong,17/08/2019
OR029758.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191077,Orthoflavivirus denguei,10653,China,Guangdong,17/08/2019
OR029759.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191078,Orthoflavivirus denguei,10653,China,Guangdong,17/08/2019
OR029760.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191082,Orthoflavivirus denguei,10645,China,Guangdong,16/08/2019
OR029761.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191084,Orthoflavivirus denguei,10653,China,Guangdong,17/08/2019
OR029762.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191085,Orthoflavivirus denguei,10653,China,Guangdong,17/08/2019
OR029763.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191086,Orthoflavivirus denguei,10655,China,Guangdong,17/08/2019
OR029764.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191087,Orthoflavivirus denguei,10660,China,Guangdong,17/08/2019
OR029765.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191092,Orthoflavivirus denguei,10655,China,Guangdong,18/08/2019
OR029766.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191094,Orthoflavivirus denguei,10653,China,Guangdong,18/08/2019
OR029767.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191095,Orthoflavivirus denguei,10653,China,Guangdong,18/08/2019
OR029768.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191096,Orthoflavivirus denguei,10648,China,Guangdong,18/08/2019
OR029769.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191100,Orthoflavivirus denguei,10653,China,Guangdong,18/08/2019
OR029770.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191101,Orthoflavivirus denguei,10651,China,Guangdong,18/08/2019
OR029771.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191102,Orthoflavivirus denguei,10663,China,Guangdong,18/08/2019
OR029772.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191103,Orthoflavivirus denguei,10668,China,Guangdong,18/08/2019
