GenBank_ID,Country,State,City,Serotype,Date,Decimal_Date,Sequence_name,genotype,Year,Month,Week,Continent,weights
OP458515.1,Viet_Nam,NA,NA,Dengue_2,2021-02-22,2021.14246575342,OP458515.1|Viet_Nam|NA|NA|Dengue_2|2021-02-22|2021.14246575342,DENV2/C,2021,2021-02-01,2021-02-21,Asia,0.5
FM210204.1,Viet_Nam,South,NA,Dengue_2,2003-06-15,2003.45205479452,FM210204.1|Viet_Nam|South|NA|Dengue_2|2003-06-15|2003.45205479452,DENV2/AA,2003,2003-06-01,2003-06-15,Asia,0.0454545454545455
JN376794.1,Viet_Nam,Mekong_Delta,NA,Dengue_2,2011-06-15,2011.45205479452,JN376794.1|Viet_Nam|Mekong_Delta|NA|Dengue_2|2011-06-15|2011.45205479452,DENV2/AI,2011,2011-06-01,2011-06-12,Asia,0.142857142857143
PP269831.1,Viet_Nam,NA,NA,Dengue_2,2012-03-30,2012.24109589041,PP269831.1|Viet_Nam|NA|NA|Dengue_2|2012-03-30|2012.24109589041,DENV2/AI,2012,2012-03-01,2012-03-25,Asia,0.0263157894736842
OQ426880.1,Viet_Nam,Nha_Trang,NA,Dengue_2,2019-01-22,2019.05753424658,OQ426880.1|Viet_Nam|Nha_Trang|NA|Dengue_2|2019-01-22|2019.05753424658,DENV2/AI,2019,2019-01-01,2019-01-20,Asia,0.00704225352112676
OP090395.1,Viet_Nam,NA,NA,Dengue_2,2021-03-05,2021.17260273973,OP090395.1|Viet_Nam|NA|NA|Dengue_2|2021-03-05|2021.17260273973,DENV2/AI,2021,2021-03-01,2021-02-28,Asia,0.5
KP769814.1,Viet_Nam,DakNong,NA,Dengue_2,2011-06-15,2011.45205479452,KP769814.1|Viet_Nam|DakNong|NA|Dengue_2|2011-06-15|2011.45205479452,DENV2/AI,2011,2011-06-01,2011-06-12,Asia,0.142857142857143
EU482787.1,Viet_Nam,south,NA,Dengue_2,2003-06-15,2003.45205479452,EU482787.1|Viet_Nam|south|NA|Dengue_2|2003-06-15|2003.45205479452,DENV2/AA,2003,2003-06-01,2003-06-15,Asia,0.0454545454545455
KY882530.1,Viet_Nam,NA,NA,Dengue_2,2011-06-15,2011.45205479452,KY882530.1|Viet_Nam|NA|NA|Dengue_2|2011-06-15|2011.45205479452,DENV2/AI,2011,2011-06-01,2011-06-12,Asia,0.142857142857143
PP269926.1,Viet_Nam,NA,NA,Dengue_2,2016-12-09,2016.93698630137,PP269926.1|Viet_Nam|NA|NA|Dengue_2|2016-12-09|2016.93698630137,DENV2/AI,2016,2016-12-01,2016-12-04,Asia,0.333333333333333
KY971720.1,Viet_Nam,NA,NA,Dengue_2,2015-06-15,2015.45205479452,KY971720.1|Viet_Nam|NA|NA|Dengue_2|2015-06-15|2015.45205479452,DENV2/C,2015,2015-06-01,2015-06-14,Asia,0.0357142857142857
OQ521638.1,Viet_Nam,NA,NA,Dengue_2,2022-05-15,2022.36712328767,OQ521638.1|Viet_Nam|NA|NA|Dengue_2|2022-05-15|2022.36712328767,DENV2/C,2022,2022-05-01,2022-05-15,Asia,0.0208333333333333
GU908509.1,Viet_Nam,south,NA,Dengue_2,2009-07-16,2009.53698630137,GU908509.1|Viet_Nam|south|NA|Dengue_2|2009-07-16|2009.53698630137,DENV2/AI,2009,2009-07-01,2009-07-12,Asia,0.0666666666666667
OQ832627.1,Viet_Nam,Hanoi,NA,Dengue_2,2020-09-15,2020.70410958904,OQ832627.1|Viet_Nam|Hanoi|NA|Dengue_2|2020-09-15|2020.70410958904,DENV2/AI,2020,2020-09-01,2020-09-13,Asia,0.0333333333333333
OQ521625.1,Viet_Nam,NA,NA,Dengue_2,2022-04-15,2022.28493150685,OQ521625.1|Viet_Nam|NA|NA|Dengue_2|2022-04-15|2022.28493150685,DENV2/C,2022,2022-04-01,2022-04-10,Asia,0.0208333333333333
GU434155.1,Viet_Nam,South,NA,Dengue_2,2002-06-15,2002.45205479452,GU434155.1|Viet_Nam|South|NA|Dengue_2|2002-06-15|2002.45205479452,DENV2/AA,2002,2002-06-01,2002-06-09,Asia,0.2
PP269903.1,Viet_Nam,NA,NA,Dengue_2,2022-06-21,2022.46849315068,PP269903.1|Viet_Nam|NA|NA|Dengue_2|2022-06-21|2022.46849315068,DENV2/C,2022,2022-06-01,2022-06-19,Asia,0.0208333333333333
JN376788.1,Viet_Nam,Mekong_Delta,NA,Dengue_2,2005-06-15,2005.45205479452,JN376788.1|Viet_Nam|Mekong_Delta|NA|Dengue_2|2005-06-15|2005.45205479452,DENV2/AA,2005,2005-06-01,2005-06-12,Asia,0.1
GU908507.1,Viet_Nam,south,NA,Dengue_2,2009-04-26,2009.31506849315,GU908507.1|Viet_Nam|south|NA|Dengue_2|2009-04-26|2009.31506849315,DENV2/AI,2009,2009-04-01,2009-04-26,Asia,0.0666666666666667
PP269826.1,Viet_Nam,NA,NA,Dengue_2,2012-02-22,2012.14246575342,PP269826.1|Viet_Nam|NA|NA|Dengue_2|2012-02-22|2012.14246575342,DENV2/AI,2012,2012-02-01,2012-02-19,Asia,0.0263157894736842
FM210233.2,Viet_Nam,South,NA,Dengue_2,2004-06-15,2004.45205479452,FM210233.2|Viet_Nam|South|NA|Dengue_2|2004-06-15|2004.45205479452,DENV2/AI,2004,2004-06-01,2004-06-13,Asia,0.0434782608695652
PP269920.1,Viet_Nam,NA,NA,Dengue_2,2023-02-06,2023.09863013699,PP269920.1|Viet_Nam|NA|NA|Dengue_2|2023-02-06|2023.09863013699,DENV2/C,2023,2023-02-01,2023-02-05,Asia,0.5
PP269934.1,Viet_Nam,NA,NA,Dengue_2,2017-08-23,2017.64109589041,PP269934.1|Viet_Nam|NA|NA|Dengue_2|2017-08-23|2017.64109589041,DENV2/AI,2017,2017-08-01,2017-08-20,Asia,0.0833333333333333
PP269855.1,Viet_Nam,NA,NA,Dengue_2,2014-10-29,2014.82465753425,PP269855.1|Viet_Nam|NA|NA|Dengue_2|2014-10-29|2014.82465753425,DENV2/C,2014,2014-10-01,2014-10-26,Asia,0.111111111111111
GU211749.1,Viet_Nam,NA,NA,Dengue_2,2006-06-15,2006.45205479452,GU211749.1|Viet_Nam|NA|NA|Dengue_2|2006-06-15|2006.45205479452,DENV2/AA,2006,2006-06-01,2006-06-11,Asia,0.0125
GU434154.1,Viet_Nam,South,NA,Dengue_2,2001-06-15,2001.45205479452,GU434154.1|Viet_Nam|South|NA|Dengue_2|2001-06-15|2001.45205479452,DENV2/AA,2001,2001-06-01,2001-06-10,Asia,0.25
FM210207.1,Viet_Nam,South,NA,Dengue_2,2005-06-15,2005.45205479452,FM210207.1|Viet_Nam|South|NA|Dengue_2|2005-06-15|2005.45205479452,DENV2/AI,2005,2005-06-01,2005-06-12,Asia,0.1
OQ426938.1,Viet_Nam,Nha_Trang,NA,Dengue_2,2018-10-26,2018.81643835616,OQ426938.1|Viet_Nam|Nha_Trang|NA|Dengue_2|2018-10-26|2018.81643835616,DENV2/AI,2018,2018-10-01,2018-10-21,Asia,0.00671140939597315
OQ426893.1,Viet_Nam,Nha_Trang,NA,Dengue_2,2019-02-28,2019.15890410959,OQ426893.1|Viet_Nam|Nha_Trang|NA|Dengue_2|2019-02-28|2019.15890410959,DENV2/AI,2019,2019-02-01,2019-02-24,Asia,0.00704225352112676
OQ832591.1,Viet_Nam,Hanoi,NA,Dengue_2,2020-09-15,2020.70410958904,OQ832591.1|Viet_Nam|Hanoi|NA|Dengue_2|2020-09-15|2020.70410958904,DENV2/AI,2020,2020-09-01,2020-09-13,Asia,0.0333333333333333
FM210225.1,Viet_Nam,South,NA,Dengue_2,2001-06-15,2001.45205479452,FM210225.1|Viet_Nam|South|NA|Dengue_2|2001-06-15|2001.45205479452,DENV2/AA,2001,2001-06-01,2001-06-10,Asia,0.25
PP269829.1,Viet_Nam,NA,NA,Dengue_2,2013-05-09,2013.35068493151,PP269829.1|Viet_Nam|NA|NA|Dengue_2|2013-05-09|2013.35068493151,DENV2/AI,2013,2013-05-01,2013-05-05,Asia,0.0555555555555556
OQ028232.1,Viet_Nam,NA,NA,Dengue_2,2020-03-02,2020.16438356164,OQ028232.1|Viet_Nam|NA|NA|Dengue_2|2020-03-02|2020.16438356164,DENV2/C,2020,2020-03-01,2020-03-01,Asia,0.0333333333333333
GU908504.1,Viet_Nam,south,NA,Dengue_2,2008-12-01,2008.91506849315,GU908504.1|Viet_Nam|south|NA|Dengue_2|2008-12-01|2008.91506849315,DENV2/AI,2008,2008-12-01,2008-11-30,Asia,0.0384615384615385
GU908508.1,Viet_Nam,south,NA,Dengue_2,2009-07-15,2009.53424657534,GU908508.1|Viet_Nam|south|NA|Dengue_2|2009-07-15|2009.53424657534,DENV2/AI,2009,2009-07-01,2009-07-12,Asia,0.0666666666666667
OQ426917.1,Viet_Nam,Nha_Trang,NA,Dengue_2,2018-09-17,2018.7095890411,OQ426917.1|Viet_Nam|Nha_Trang|NA|Dengue_2|2018-09-17|2018.7095890411,DENV2/AI,2018,2018-09-01,2018-09-16,Asia,0.00671140939597315
PP269890.1,Viet_Nam,NA,NA,Dengue_2,2020-05-12,2020.35890410959,PP269890.1|Viet_Nam|NA|NA|Dengue_2|2020-05-12|2020.35890410959,DENV2/AI,2020,2020-05-01,2020-05-10,Asia,0.0333333333333333
FM210242.2,Viet_Nam,South,NA,Dengue_2,2004-06-15,2004.45205479452,FM210242.2|Viet_Nam|South|NA|Dengue_2|2004-06-15|2004.45205479452,DENV2/AI,2004,2004-06-01,2004-06-13,Asia,0.0434782608695652
FM210238.2,Viet_Nam,South,NA,Dengue_2,2001-06-15,2001.45205479452,FM210238.2|Viet_Nam|South|NA|Dengue_2|2001-06-15|2001.45205479452,DENV2/AA,2001,2001-06-01,2001-06-10,Asia,0.25
EU482783.1,Viet_Nam,south,NA,Dengue_2,2003-06-15,2003.45205479452,EU482783.1|Viet_Nam|south|NA|Dengue_2|2003-06-15|2003.45205479452,DENV2/AA,2003,2003-06-01,2003-06-15,Asia,0.0454545454545455
GU908518.1,Viet_Nam,north,NA,Dengue_2,2008-10-08,2008.76712328767,GU908518.1|Viet_Nam|north|NA|Dengue_2|2008-10-08|2008.76712328767,DENV2/AI,2008,2008-10-01,2008-10-05,Asia,0.0384615384615385
KY971727.1,Viet_Nam,NA,NA,Dengue_2,2015-06-15,2015.45205479452,KY971727.1|Viet_Nam|NA|NA|Dengue_2|2015-06-15|2015.45205479452,DENV2/C,2015,2015-06-01,2015-06-14,Asia,0.0357142857142857
PP269921.1,Viet_Nam,NA,NA,Dengue_2,2022-10-10,2022.77260273973,PP269921.1|Viet_Nam|NA|NA|Dengue_2|2022-10-10|2022.77260273973,DENV2/C,2022,2022-10-01,2022-10-09,Asia,0.0208333333333333
OQ426940.1,Viet_Nam,Nha_Trang,NA,Dengue_2,2018-10-29,2018.82465753425,OQ426940.1|Viet_Nam|Nha_Trang|NA|Dengue_2|2018-10-29|2018.82465753425,DENV2/AI,2018,2018-10-01,2018-10-28,Asia,0.00671140939597315
FM210239.2,Viet_Nam,South,NA,Dengue_2,2004-06-15,2004.45205479452,FM210239.2|Viet_Nam|South|NA|Dengue_2|2004-06-15|2004.45205479452,DENV2/AA,2004,2004-06-01,2004-06-13,Asia,0.0434782608695652
OQ426786.1,Viet_Nam,Nha_Trang,NA,Dengue_2,2019-01-29,2019.07671232877,OQ426786.1|Viet_Nam|Nha_Trang|NA|Dengue_2|2019-01-29|2019.07671232877,DENV2/AI,2019,2019-01-01,2019-01-27,Asia,0.00704225352112676
PP269912.1,Viet_Nam,NA,NA,Dengue_2,2023-02-02,2023.08767123288,PP269912.1|Viet_Nam|NA|NA|Dengue_2|2023-02-02|2023.08767123288,DENV2/C,2023,2023-02-01,2023-01-29,Asia,0.5
GU434156.1,Viet_Nam,South,NA,Dengue_2,2003-06-15,2003.45205479452,GU434156.1|Viet_Nam|South|NA|Dengue_2|2003-06-15|2003.45205479452,DENV2/AA,2003,2003-06-01,2003-06-15,Asia,0.0454545454545455
PP269863.1,Viet_Nam,NA,NA,Dengue_2,2014-09-22,2014.72328767123,PP269863.1|Viet_Nam|NA|NA|Dengue_2|2014-09-22|2014.72328767123,DENV2/AI,2014,2014-09-01,2014-09-21,Asia,0.111111111111111
FM210213.1,Viet_Nam,South,NA,Dengue_2,2005-06-15,2005.45205479452,FM210213.1|Viet_Nam|South|NA|Dengue_2|2005-06-15|2005.45205479452,DENV2/AA,2005,2005-06-01,2005-06-12,Asia,0.1
FM210226.1,Viet_Nam,South,NA,Dengue_2,2002-06-15,2002.45205479452,FM210226.1|Viet_Nam|South|NA|Dengue_2|2002-06-15|2002.45205479452,DENV2/AA,2002,2002-06-01,2002-06-09,Asia,0.2
KY971732.1,Viet_Nam,NA,NA,Dengue_2,2015-06-15,2015.45205479452,KY971732.1|Viet_Nam|NA|NA|Dengue_2|2015-06-15|2015.45205479452,DENV2/C,2015,2015-06-01,2015-06-14,Asia,0.0357142857142857
AB479042.1,Viet_Nam,Ho_Chi_Minh,NA,Dengue_2,2002-06-15,2002.45205479452,AB479042.1|Viet_Nam|Ho_Chi_Minh|NA|Dengue_2|2002-06-15|2002.45205479452,DENV2/AA,2002,2002-06-01,2002-06-09,Asia,0.2
GU908511.1,Viet_Nam,south,NA,Dengue_2,2009-08-04,2009.58904109589,GU908511.1|Viet_Nam|south|NA|Dengue_2|2009-08-04|2009.58904109589,DENV2/AI,2009,2009-08-01,2009-08-02,Asia,0.0666666666666667
PP269866.1,Viet_Nam,NA,NA,Dengue_2,2013-08-13,2013.61369863014,PP269866.1|Viet_Nam|NA|NA|Dengue_2|2013-08-13|2013.61369863014,DENV2/AI,2013,2013-08-01,2013-08-11,Asia,0.0555555555555556
FM210227.1,Viet_Nam,South,NA,Dengue_2,2002-06-15,2002.45205479452,FM210227.1|Viet_Nam|South|NA|Dengue_2|2002-06-15|2002.45205479452,DENV2/AA,2002,2002-06-01,2002-06-09,Asia,0.2
GU211748.1,Viet_Nam,NA,NA,Dengue_2,2006-06-15,2006.45205479452,GU211748.1|Viet_Nam|NA|NA|Dengue_2|2006-06-15|2006.45205479452,DENV2/AA,2006,2006-06-01,2006-06-11,Asia,0.0125
FM210246.2,Viet_Nam,South,NA,Dengue_2,2005-06-15,2005.45205479452,FM210246.2|Viet_Nam|South|NA|Dengue_2|2005-06-15|2005.45205479452,DENV2/AI,2005,2005-06-01,2005-06-12,Asia,0.1
JN376789.1,Viet_Nam,Mekong_Delta,NA,Dengue_2,2006-06-15,2006.45205479452,JN376789.1|Viet_Nam|Mekong_Delta|NA|Dengue_2|2006-06-15|2006.45205479452,DENV2/AI,2006,2006-06-01,2006-06-11,Asia,0.0125
OQ832572.1,Viet_Nam,NA,NA,Dengue_2,2019-10-15,2019.78630136986,OQ832572.1|Viet_Nam|NA|NA|Dengue_2|2019-10-15|2019.78630136986,DENV2/C,2019,2019-10-01,2019-10-13,Asia,0.00704225352112676
EU482788.1,Viet_Nam,south,NA,Dengue_2,2003-06-15,2003.45205479452,EU482788.1|Viet_Nam|south|NA|Dengue_2|2003-06-15|2003.45205479452,DENV2/AA,2003,2003-06-01,2003-06-15,Asia,0.0454545454545455
EU482670.1,Viet_Nam,south,NA,Dengue_2,2006-06-15,2006.45205479452,EU482670.1|Viet_Nam|south|NA|Dengue_2|2006-06-15|2006.45205479452,DENV2/AI,2006,2006-06-01,2006-06-11,Asia,0.0125
GU211757.1,Viet_Nam,NA,NA,Dengue_2,2006-06-15,2006.45205479452,GU211757.1|Viet_Nam|NA|NA|Dengue_2|2006-06-15|2006.45205479452,DENV2/AA,2006,2006-06-01,2006-06-11,Asia,0.0125
OQ426953.1,Viet_Nam,Nha_Trang,NA,Dengue_2,2018-11-19,2018.88219178082,OQ426953.1|Viet_Nam|Nha_Trang|NA|Dengue_2|2018-11-19|2018.88219178082,DENV2/AI,2018,2018-11-01,2018-11-18,Asia,0.00671140939597315
PP269930.1,Viet_Nam,NA,NA,Dengue_2,2017-04-12,2017.27671232877,PP269930.1|Viet_Nam|NA|NA|Dengue_2|2017-04-12|2017.27671232877,DENV2/AI,2017,2017-04-01,2017-04-09,Asia,0.0833333333333333
KY971724.1,Viet_Nam,NA,NA,Dengue_2,2015-06-15,2015.45205479452,KY971724.1|Viet_Nam|NA|NA|Dengue_2|2015-06-15|2015.45205479452,DENV2/C,2015,2015-06-01,2015-06-14,Asia,0.0357142857142857
OQ426871.1,Viet_Nam,Nha_Trang,NA,Dengue_2,2019-01-15,2019.03835616438,OQ426871.1|Viet_Nam|Nha_Trang|NA|Dengue_2|2019-01-15|2019.03835616438,DENV2/AI,2019,2019-01-01,2019-01-13,Asia,0.00704225352112676
OQ028225.1,Viet_Nam,NA,NA,Dengue_2,2020-09-23,2020.72602739726,OQ028225.1|Viet_Nam|NA|NA|Dengue_2|2020-09-23|2020.72602739726,DENV2/C,2020,2020-09-01,2020-09-20,Asia,0.0333333333333333
PP269932.1,Viet_Nam,NA,NA,Dengue_2,2017-05-08,2017.34794520548,PP269932.1|Viet_Nam|NA|NA|Dengue_2|2017-05-08|2017.34794520548,DENV2/AI,2017,2017-05-01,2017-05-07,Asia,0.0833333333333333
EU482463.1,Viet_Nam,south,NA,Dengue_2,2006-06-15,2006.45205479452,EU482463.1|Viet_Nam|south|NA|Dengue_2|2006-06-15|2006.45205479452,DENV2/AI,2006,2006-06-01,2006-06-11,Asia,0.0125
KY851484.1,Viet_Nam,NA,NA,Dengue_2,2011-06-15,2011.45205479452,KY851484.1|Viet_Nam|NA|NA|Dengue_2|2011-06-15|2011.45205479452,DENV2/AI,2011,2011-06-01,2011-06-12,Asia,0.142857142857143
EU482777.1,Viet_Nam,south,NA,Dengue_2,2005-06-15,2005.45205479452,EU482777.1|Viet_Nam|south|NA|Dengue_2|2005-06-15|2005.45205479452,DENV2/AI,2005,2005-06-01,2005-06-12,Asia,0.1
OQ521632.1,Viet_Nam,NA,NA,Dengue_2,2022-04-15,2022.28493150685,OQ521632.1|Viet_Nam|NA|NA|Dengue_2|2022-04-15|2022.28493150685,DENV2/C,2022,2022-04-01,2022-04-10,Asia,0.0208333333333333
OQ028211.1,Viet_Nam,NA,NA,Dengue_2,2020-11-09,2020.85479452055,OQ028211.1|Viet_Nam|NA|NA|Dengue_2|2020-11-09|2020.85479452055,DENV2/C,2020,2020-11-01,2020-11-08,Asia,0.0333333333333333
PP269837.1,Viet_Nam,NA,NA,Dengue_2,2015-10-09,2015.7698630137,PP269837.1|Viet_Nam|NA|NA|Dengue_2|2015-10-09|2015.7698630137,DENV2/AI,2015,2015-10-01,2015-10-04,Asia,0.0357142857142857
OQ426891.1,Viet_Nam,Nha_Trang,NA,Dengue_2,2019-02-22,2019.14246575342,OQ426891.1|Viet_Nam|Nha_Trang|NA|Dengue_2|2019-02-22|2019.14246575342,DENV2/AI,2019,2019-02-01,2019-02-17,Asia,0.00704225352112676
OQ832625.1,Viet_Nam,Hanoi,NA,Dengue_2,2020-09-15,2020.70410958904,OQ832625.1|Viet_Nam|Hanoi|NA|Dengue_2|2020-09-15|2020.70410958904,DENV2/C,2020,2020-09-01,2020-09-13,Asia,0.0333333333333333
GU908496.1,Viet_Nam,south,NA,Dengue_2,2009-10-02,2009.75068493151,GU908496.1|Viet_Nam|south|NA|Dengue_2|2009-10-02|2009.75068493151,DENV2/C,2009,2009-10-01,2009-09-27,Asia,0.0666666666666667
PP269925.1,Viet_Nam,NA,NA,Dengue_2,2016-10-25,2016.81369863014,PP269925.1|Viet_Nam|NA|NA|Dengue_2|2016-10-25|2016.81369863014,DENV2/C,2016,2016-10-01,2016-10-23,Asia,0.333333333333333
PP269828.1,Viet_Nam,NA,NA,Dengue_2,2013-07-31,2013.57808219178,PP269828.1|Viet_Nam|NA|NA|Dengue_2|2013-07-31|2013.57808219178,DENV2/AI,2013,2013-07-01,2013-07-28,Asia,0.0555555555555556
KF060920.1,China,Guangzhou,NA,Dengue_2,2012-06-15,2012.45205479452,KF060920.1|China|Guangzhou|NA|Dengue_2|2012-06-15|2012.45205479452,DENV2/AI,2012,2012-06-01,2012-06-10,Asia,0.333333333333333
MW946316.1,Thailand,NA,NA,Dengue_2,2006-06-15,2006.45205479452,MW946316.1|Thailand|NA|NA|Dengue_2|2006-06-15|2006.45205479452,DENV2/AI,2006,2006-06-01,2006-06-11,Asia,0.05
JN029821.1,China,NA,NA,Dengue_2,2010-06-15,2010.45205479452,JN029821.1|China|NA|NA|Dengue_2|2010-06-15|2010.45205479452,DENV2/AA,2010,2010-06-01,2010-06-13,Asia,0.1
MT122193.1,Indonesia,Kupang,NA,Dengue_2,2017-09-15,2017.70410958904,MT122193.1|Indonesia|Kupang|NA|Dengue_2|2017-09-15|2017.70410958904,DENV2/C,2017,2017-09-01,2017-09-10,Asia,0.166666666666667
KF744408.1,Philippines,NA,NA,Dengue_2,2005-06-15,2005.45205479452,KF744408.1|Philippines|NA|NA|Dengue_2|2005-06-15|2005.45205479452,DENV2/AII,2005,2005-06-01,2005-06-12,Asia,0.333333333333333
MN444621.1,Laos,Attapeu,NA,Dengue_2,2018-05-07,2018.34520547945,MN444621.1|Laos|Attapeu|NA|Dengue_2|2018-05-07|2018.34520547945,DENV2/AI,2018,2018-05-01,2018-05-06,Asia,0.166666666666667
GQ357791.1,Singapore,NA,NA,Dengue_2,2007-06-15,2007.45205479452,GQ357791.1|Singapore|NA|NA|Dengue_2|2007-06-15|2007.45205479452,DENV2/C,2007,2007-06-01,2007-06-10,Asia,0.0166666666666667
OR389020.1,Cambodia,NA,NA,Dengue_2,2009-06-15,2009.45205479452,OR389020.1|Cambodia|NA|NA|Dengue_2|2009-06-15|2009.45205479452,DENV2/AI,2009,2009-06-01,2009-06-14,Asia,0.2
MH822946.2,India,NA,NA,Dengue_2,2012-10-19,2012.79726027397,MH822946.2|India|NA|NA|Dengue_2|2012-10-19|2012.79726027397,DENV2/C,2012,2012-10-01,2012-10-14,Asia,0.0588235294117647
GQ868621.1,Cambodia,SRP,NA,Dengue_2,2003-06-15,2003.45205479452,GQ868621.1|Cambodia|SRP|NA|Dengue_2|2003-06-15|2003.45205479452,DENV2/AI,2003,2003-06-01,2003-06-15,Asia,0.125
MH822951.2,India,NA,NA,Dengue_2,2013-09-04,2013.67397260274,MH822951.2|India|NA|NA|Dengue_2|2013-09-04|2013.67397260274,DENV2/C,2013,2013-09-01,2013-09-01,Asia,0.166666666666667
KU666944.1,Malaysia,Johor_Bahru,NA,Dengue_2,2014-01-15,2014.03835616438,KU666944.1|Malaysia|Johor_Bahru|NA|Dengue_2|2014-01-15|2014.03835616438,DENV2/C,2014,2014-01-01,2014-01-12,Asia,0.0158730158730159
